"","gene_id","baseMean","logFC","lfcSE","P.Value","adj.P.Val","gene","entrez"
"1","ENSG00000000003",1117.30066036606,0.343003135841903,0.178387807127697,0.0527307148705719,0.080171010395812,"TSPAN6","7105"
"2","ENSG00000000005",0.734630379736596,0.711072252529172,1.81131368611972,0.367170988085691,NA,"TNMD","64102"
"3","ENSG00000000419",847.630945486502,0.475905651869309,0.137989896833194,0.000531627087837451,0.00117876844014968,"DPM1","8813"
"4","ENSG00000000457",267.027728875807,-0.97938102936954,0.185137145794343,9.58197471035829e-08,3.16921961925462e-07,"SCYL3","57147"
"5","ENSG00000000460",247.792979844188,-1.4755192986493,0.195437927678918,2.45603676125688e-14,1.27163872179432e-13,"C1orf112","55732"
"6","ENSG00000000938",1.46926075947319,1.3480100224996,1.7991052491228,0.13612756151378,0.1840747947497,"FGR","2268"
"7","ENSG00000000971",2379.48131325776,-1.81860068853832,0.485839218248966,7.01926200071918e-05,0.000175033573349942,"CFH","3075"
"8","ENSG00000001036",1688.23403032068,-0.0780212954449614,0.104274491913003,0.453185034757315,0.522592124765138,"FUCA2","2519"
"9","ENSG00000001084",856.991276912367,-0.791747858252853,0.134503352180772,3.37805303488018e-09,1.24882599090035e-08,"GCLC","2729"
"10","ENSG00000001167",648.069626135172,-0.408902028056067,0.160686324748093,0.0104630656616909,0.0186850502719847,"NFYA","4800"
"11","ENSG00000001460",76.2739529985116,-1.33076734462373,0.388390951166696,0.000373961082142994,0.000848097509861841,"STPG1","90529"
"12","ENSG00000001461",242.627293038615,-1.40565370753946,0.188571963164718,5.39175831496502e-14,2.73114627647686e-13,"NIPAL3","57185"
"13","ENSG00000001497",817.399528233456,0.176951416047715,0.147197836019846,0.226974151135469,0.287265727657929,"LAS1L","81887"
"14","ENSG00000001561",411.472519919323,-0.722541740292974,0.163006172266522,8.16502705587991e-06,2.25455838403964e-05,"ENPP4","22875"
"15","ENSG00000001617",83.1009114268558,0.998715561501051,0.341953277614689,0.00265636127319697,0.00530851711415583,"SEMA3F","6405"
"16","ENSG00000001626",9.50811150981074,0.86408033885842,0.804844832094304,0.210475866934695,0.269128532041801,"CFTR","1080"
"17","ENSG00000001629",591.914203268793,-2.64276960873522,0.158680121807076,3.91764642761227e-63,1.46092912424667e-61,"ANKIB1","54467"
"18","ENSG00000001630",115.601198426001,-0.932365425675839,0.273870336020329,0.000526482154846766,0.00116766831953452,"CYP51A1","1595"
"19","ENSG00000001631",82.286540346254,-0.37508201877614,0.308469308228788,0.213753453170512,0.272587749595532,"KRIT1","889"
"20","ENSG00000002016",213.729526977443,0.489432594725702,0.198823631357044,0.0129692611001737,0.0227218574417062,"RAD52","5893"
"21","ENSG00000002079",17.3247851605177,0.389474450285209,0.689680048021854,0.527482795495361,0.594926315898673,NA,NA
